key,de-DE,en-US,it-IT,es-ES
custom.data.type.cerlthesaurus.name,CERL-Thesaurus-Verknüpfung,CERL-Thesaurus-Link,,
custom.data.type.cerlthesaurus.edit.button|icon,edit,edit,,
custom.data.type.cerlthesaurus.remove.button|icon,trash,trash,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_placename.value.label,Placename,Placename,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_imprintname.value.label,Imprintname,Imprintname,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_personalname.value.label,Personalname,Personalname,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_corporatename.value.label,Corporatename,Corporatename,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_placename.value.checkbox,Erlauben,Allow,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_imprintname.value.checkbox,Erlauben,Allow,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_personalname.value.checkbox,Erlauben,Allow,,
custom.data.type.cerl.thesaurus.config.parameter.mask.allow_corporatename.value.checkbox,Erlauben,Allow,,
custom.data.type.cerlthesaurus.modal.form.text.count_short,Treffer,Hits,,
custom.data.type.cerlthesaurus.modal.form.text.count,Anzahl Treffer,Number of hits,,
custom.data.type.cerlthesaurus.modal.form.text.searchbar,Suchbegriff eingeben,Enter searchterm,,
custom.data.type.cerlthesaurus.modal.form.text.searchbar.placeholder,eingeben,enter,,
custom.data.type.cerlthesaurus.modal.form.text.type,Typ,Type,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.info.label,Weitere Informationen,More information,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.displayName.label,Name,Name,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.cerlID.label,CERL-ID,CERL-ID,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.geoNote.label,Geografie,,Geographie,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.bioData.label,Biografische Daten,Biographical data,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.variantForms.label,Andere Namensformen,Variant names,,
